1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
0	-0.401111	-0.814308	0.012086	8.000000	0.000524	0.000326	0.000331	0.0000000820	0.0040801192	0.0003843443	387.4	21.1	439.9	0.0000025604	0.0001652726	0.0001784534
1	-0.402024	-0.814750	0.010703	4.000000	0.000820	0.000292	0.000428	0.0000000758	0.0037697017	0.0003087366	351.6	20.9	372.6	0.0000024699	0.0001531062	0.0001579565
2	-0.402822	-0.816054	0.010411	4.000000	0.000229	0.000286	0.000184	0.0000000746	0.0036899407	0.0002956904	353.0	20.1	373.3	0.0000024551	0.0001505847	0.0001541035
3	-0.403258	-0.816125	0.009608	4.000000	0.000561	0.000265	0.000297	0.0000000706	0.0034983885	0.0002540613	379.4	21.1	400.7	0.0000023909	0.0001428973	0.0001411062
4	-0.403256	-0.815816	0.009305	2.000000	0.000776	0.000257	0.000417	0.0000000697	0.0034113224	0.0002412366	367.4	21.2	388.7	0.0000023856	0.0001397891	0.0001370194
5	-0.403776	-0.816676	0.009125	2.000000	0.000162	0.000252	0.000137	0.0000000685	0.0033713845	0.0002313530	371.5	20.6	392.2	0.0000023627	0.0001379859	0.0001336132
6	-0.404027	-0.816803	0.008749	2.000000	0.000211	0.000241	0.000139	0.0000000667	0.0032767166	0.0002128532	354.6	21.1	375.8	0.0000023306	0.0001340528	0.0001271113
7	-0.404212	-0.816876	0.008452	2.000000	0.000245	0.000233	0.000159	0.0000000653	0.0031963829	0.0001993629	369.7	20.2	390.1	0.0000023108	0.0001308254	0.0001222197
8	-0.404369	-0.816909	0.008171	1.000000	0.000343	0.000224	0.000184	0.0000000638	0.0031264516	0.0001854483	385.0	21.5	406.6	0.0000022802	0.0001277389	0.0001168677
9	-0.404492	-0.817072	0.008088	1.000000	0.000147	0.000222	0.000110	0.0000000634	0.0031015099	0.0001821853	383.1	21.2	404.5	0.0000022765	0.0001267870	0.0001156367
10	-0.404614	-0.817154	0.007926	1.000000	0.000148	0.000217	0.000106	0.0000000626	0.0030578279	0.0001748094	357.4	22.0	379.4	0.0000022618	0.0001249389	0.0001127074
11	-0.404724	-0.817219	0.007771	1.000000	0.000145	0.000212	0.000102	0.0000000618	0.0030152624	0.0001678615	413.7	21.7	435.5	0.0000022478	0.0001231347	0.0001098903
12	-0.404834	-0.817287	0.007619	1.000000	0.000146	0.000207	0.000099	0.0000000611	0.0029734527	0.0001610985	371.0	21.9	393.0	0.0000022334	0.0001213452	0.0001070808
