1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
58	-0.411049	-0.824805	0.002707	0.250000	0.000130	0.000108	0.000060	0.0000000843	0.0011708709	0.0000281277	12072.5	60.0	12132.6	0.0000069912	0.0000723879	0.0000515887
59	-0.411063	-0.824820	0.002694	0.250000	0.000147	0.000108	0.000062	0.0000000842	0.0011647052	0.0000280821	11880.7	65.5	11946.3	0.0000069858	0.0000720699	0.0000515209
60	-0.411074	-0.824833	0.002686	0.250000	0.000136	0.000108	0.000062	0.0000000840	0.0011603922	0.0000280843	12024.5	67.6	12092.4	0.0000069800	0.0000719075	0.0000515033
61	-0.411088	-0.824849	0.002674	0.250000	0.000149	0.000108	0.000062	0.0000000839	0.0011546203	0.0000280658	11934.3	30.2	11964.6	0.0000069762	0.0000716197	0.0000514806
62	-0.411098	-0.824862	0.002665	0.250000	0.000138	0.000108	0.000062	0.0000000837	0.0011504880	0.0000280731	11940.9	30.5	11971.6	0.0000069714	0.0000714655	0.0000514652
63	-0.411111	-0.824877	0.002654	0.250000	0.000148	0.000107	0.000062	0.0000000836	0.0011448935	0.0000280723	11907.7	60.8	11968.6	0.0000069682	0.0000711976	0.0000514675
64	-0.411121	-0.824888	0.002646	0.250000	0.000139	0.000107	0.000062	0.0000000835	0.0011407823	0.0000280801	11881.8	62.3	11944.3	0.0000069647	0.0000710400	0.0000514507
65	-0.411135	-0.824905	0.002635	0.250000	0.000148	0.000107	0.000062	0.0000000834	0.0011353709	0.0000280969	12022.1	64.9	12087.1	0.0000069620	0.0000707914	0.0000514756
66	-0.411145	-0.824916	0.002627	0.250000	0.000138	0.000107	0.000062	0.0000000833	0.0011313382	0.0000281010	12037.9	30.7	12068.7	0.0000069584	0.0000706336	0.0000514428
67	-0.411157	-0.824931	0.002616	0.250000	0.000147	0.000107	0.000062	0.0000000832	0.0011259309	0.0000281057	11924.7	68.7	11993.5	0.0000069551	0.0000703834	0.0000514472
