1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
0	-0.415815	-0.831629	0.000000	16.000000	0.000694	0.000000	0.000347	0.0000000000	0.0000000000	0.0000000000	40.9	15.7	61.3	0.0000000000	0.0000000000	0.0000000000
1	-0.408210	-0.816595	0.000175	8.000000	0.002454	0.000030	0.001237	0.0000000003	0.0000466026	0.0000081309	44.9	15.4	60.4	0.0000000572	0.0000136962	0.0000177307
2	-0.415493	-0.831050	0.000063	8.000000	0.000918	0.000019	0.000463	0.0000000001	0.0000157404	0.0000031511	41.8	16.0	57.9	0.0000000351	0.0000082837	0.0000112803
3	-0.416237	-0.832521	0.000047	4.000000	0.000735	0.000018	0.000366	0.0000000001	0.0000097597	0.0000026984	44.1	15.4	59.6	0.0000000285	0.0000072415	0.0000107446
4	-0.416827	-0.833719	0.000065	2.000000	0.000206	0.000021	0.000098	0.0000000001	0.0000141838	0.0000036642	41.0	15.9	57.0	0.0000000341	0.0000085807	0.0000124566
5	-0.416917	-0.833920	0.000086	1.000000	0.000278	0.000024	0.000133	0.0000000002	0.0000183110	0.0000049502	48.4	15.8	64.3	0.0000000400	0.0000098692	0.0000145128
6	-0.417008	-0.834112	0.000097	1.000000	0.000165	0.000025	0.000074	0.0000000002	0.0000207066	0.0000055647	40.6	15.3	56.1	0.0000000419	0.0000104683	0.0000153650
7	-0.417079	-0.834272	0.000115	1.000000	0.000166	0.000028	0.000073	0.0000000002	0.0000244304	0.0000065917	42.2	15.8	58.2	0.0000000461	0.0000113712	0.0000167137
8	-0.417108	-0.834350	0.000134	1.000000	0.000165	0.000030	0.000072	0.0000000003	0.0000284404	0.0000076881	51.7	16.4	68.2	0.0000000496	0.0000122624	0.0000180317
9	-0.417151	-0.834455	0.000153	1.000000	0.000166	0.000032	0.000073	0.0000000003	0.0000324764	0.0000088000	47.9	15.6	63.6	0.0000000536	0.0000130963	0.0000192800
10	-0.417223	-0.834620	0.000174	1.000000	0.000169	0.000034	0.000074	0.0000000003	0.0000368437	0.0000099867	46.9	14.9	61.9	0.0000000569	0.0000139318	0.0000205151
11	-0.417227	-0.834646	0.000193	1.000000	0.000173	0.000036	0.000076	0.0000000004	0.0000408594	0.0000110941	45.5	15.9	61.6	0.0000000607	0.0000146609	0.0000216085
12	-0.417251	-0.834715	0.000213	1.000000	0.000179	0.000038	0.000080	0.0000000004	0.0000452005	0.0000122414	45.1	15.3	60.5	0.0000000635	0.0000153924	0.0000226682
13	-0.417286	-0.834802	0.000230	0.500000	0.000188	0.000039	0.000084	0.0000000005	0.0000487558	0.0000132297	49.3	15.5	64.9	0.0000000669	0.0000159783	0.0000235522
14	-0.417310	-0.834860	0.000239	0.500000	0.000137	0.000040	0.000054	0.0000000005	0.0000507463	0.0000137493	42.1	15.5	57.6	0.0000000680	0.0000162862	0.0000239946
15	-0.417336	-0.834925	0.000253	0.500000	0.000136	0.000041	0.000054	0.0000000005	0.0000536240	0.0000145107	45.1	16.2	61.4	0.0000000701	0.0000167222	0.0000246316
16	-0.417362	-0.834991	0.000266	0.500000	0.000135	0.000042	0.000052	0.0000000005	0.0000564951	0.0000152744	49.0	15.6	64.8	0.0000000722	0.0000171459	0.0000252529
17	-0.417388	-0.835056	0.000280	0.500000	0.000134	0.000043	0.000052	0.0000000006	0.0000594847	0.0000160588	41.1	16.0	57.2	0.0000000743	0.0000175711	0.0000258722
18	-0.417413	-0.835120	0.000294	0.500000	0.000133	0.000044	0.000051	0.0000000006	0.0000625459	0.0000168585	43.9	15.9	59.9	0.0000000764	0.0000179945	0.0000264871
19	-0.417441	-0.835190	0.000309	0.500000	0.000132	0.000045	0.000050	0.0000000006	0.0000656592	0.0000176657	51.3	15.6	67.0	0.0000000785	0.0000184119	0.0000270907
20	-0.417465	-0.835254	0.000323	0.500000	0.000129	0.000046	0.000049	0.0000000007	0.0000688048	0.0000184780	48.7	15.3	64.1	0.0000000806	0.0000188211	0.0000276827
21	-0.417490	-0.835318	0.000338	0.500000	0.000128	0.000047	0.000048	0.0000000007	0.0000719830	0.0000192914	43.2	15.5	58.8	0.0000000827	0.0000192215	0.0000282594
22	-0.417516	-0.835383	0.000352	0.500000	0.000127	0.000048	0.000047	0.0000000007	0.0000751689	0.0000200963	44.7	15.1	59.9	0.0000000847	0.0000196090	0.0000288153
23	-0.417540	-0.835448	0.000367	0.500000	0.000127	0.000049	0.000047	0.0000000008	0.0000784142	0.0000209098	59.7	16.6	76.4	0.0000000868	0.0000199935	0.0000293641
24	-0.417564	-0.835509	0.000381	0.500000	0.000125	0.000050	0.000045	0.0000000008	0.0000816518	0.0000217177	54.6	15.2	69.9	0.0000000889	0.0000203666	0.0000298967
25	-0.417580	-0.835556	0.000396	0.500000	0.000126	0.000050	0.000046	0.0000000008	0.0000849572	0.0000225388	53.2	15.3	68.7	0.0000000909	0.0000207394	0.0000304255
26	-0.417604	-0.835618	0.000411	0.500000	0.000126	0.000051	0.000046	0.0000000009	0.0000883620	0.0000233758	46.6	15.2	61.9	0.0000000930	0.0000211147	0.0000309545
27	-0.417614	-0.835654	0.000426	0.500000	0.000126	0.000052	0.000045	0.0000000009	0.0000915748	0.0000241628	41.6	15.1	56.8	0.0000000950	0.0000214566	0.0000314408
28	-0.417637	-0.835716	0.000441	0.500000	0.000124	0.000053	0.000044	0.0000000010	0.0000950335	0.0000250090	42.7	14.8	57.6	0.0000000970	0.0000218198	0.0000319534
29	-0.417659	-0.835774	0.000456	0.500000	0.000123	0.000054	0.000044	0.0000000010	0.0000984016	0.0000258313	45.3	16.3	61.7	0.0000000991	0.0000221641	0.0000324413
30	-0.417676	-0.835823	0.000471	0.500000	0.000122	0.000055	0.000043	0.0000000010	0.0001018859	0.0000266632	44.0	15.6	59.7	0.0000001011	0.0000225098	0.0000329225
31	-0.417691	-0.835868	0.000486	0.500000	0.000122	0.000055	0.000043	0.0000000011	0.0001052224	0.0000274624	46.6	15.5	62.2	0.0000001031	0.0000228320	0.0000333762
32	-0.417710	-0.835922	0.000502	0.500000	0.000120	0.000056	0.000042	0.0000000011	0.0001087825	0.0000283000	50.9	16.5	67.5	0.0000001051	0.0000231698	0.0000338421
33	-0.417719	-0.835955	0.000517	0.500000	0.000119	0.000057	0.000041	0.0000000012	0.0001122736	0.0000291234	43.9	15.8	59.8	0.0000001072	0.0000234925	0.0000342914
34	-0.417727	-0.835986	0.000532	0.500000	0.000118	0.000058	0.000041	0.0000000012	0.0001158706	0.0000299495	47.3	15.0	62.5	0.0000001092	0.0000238166	0.0000347311
35	-0.417711	-0.835969	0.000547	0.500000	0.000120	0.000058	0.000041	0.0000000013	0.0001192775	0.0000307379	45.6	15.9	61.6	0.0000001112	0.0000241160	0.0000351434
36	-0.417675	-0.835912	0.000563	0.500000	0.000119	0.000059	0.000041	0.0000000013	0.0001228939	0.0000315496	45.3	15.6	61.0	0.0000001131	0.0000244279	0.0000355596
37	-0.417678	-0.835934	0.000577	0.500000	0.000122	0.000060	0.000042	0.0000000013	0.0001262853	0.0000323311	50.2	15.3	65.6	0.0000001152	0.0000247134	0.0000359551
38	-0.417697	-0.835986	0.000593	0.500000	0.000121	0.000060	0.000044	0.0000000014	0.0001300167	0.0000331591	46.7	15.2	62.0	0.0000001170	0.0000250242	0.0000363678
39	-0.417696	-0.835999	0.000606	0.500000	0.000133	0.000061	0.000049	0.0000000014	0.0001329593	0.0000338340	52.1	16.4	68.6	0.0000001190	0.0000252601	0.0000366959
40	-0.417715	-0.836050	0.000619	0.500000	0.000130	0.000061	0.000050	0.0000000015	0.0001362407	0.0000345300	54.1	15.7	70.0	0.0000001204	0.0000255205	0.0000370300
41	-0.417692	-0.836014	0.000630	0.500000	0.000133	0.000062	0.000049	0.0000000015	0.0001386684	0.0000350903	53.0	15.2	68.3	0.0000001222	0.0000257065	0.0000372945
42	-0.417729	-0.836102	0.000643	0.500000	0.000126	0.000062	0.000046	0.0000000015	0.0001419406	0.0000357807	43.5	16.4	60.1	0.0000001235	0.0000259591	0.0000376172
43	-0.417686	-0.836027	0.000655	0.500000	0.000128	0.000063	0.000045	0.0000000016	0.0001446732	0.0000364015	42.8	16.0	58.9	0.0000001254	0.0000261644	0.0000379036
44	-0.417715	-0.836099	0.000669	0.500000	0.000124	0.000063	0.000045	0.0000000016	0.0001481440	0.0000371313	44.6	15.5	60.2	0.0000001269	0.0000264229	0.0000382356
45	-0.417694	-0.836070	0.000682	0.500000	0.000128	0.000064	0.000046	0.0000000017	0.0001510466	0.0000377779	43.7	15.3	59.0	0.0000001288	0.0000266355	0.0000385268
46	-0.417693	-0.836081	0.000695	0.500000	0.000127	0.000064	0.000046	0.0000000017	0.0001544530	0.0000384804	50.7	17.2	68.1	0.0000001302	0.0000268794	0.0000388364
47	-0.417715	-0.836137	0.000708	0.500000	0.000126	0.000065	0.000044	0.0000000018	0.0001574037	0.0000391398	41.6	15.2	56.9	0.0000001321	0.0000270907	0.0000391290
48	-0.417722	-0.836166	0.000722	0.500000	0.000124	0.000065	0.000044	0.0000000018	0.0001609551	0.0000398701	50.5	16.1	66.7	0.0000001335	0.0000273394	0.0000394438
49	-0.417730	-0.836195	0.000735	0.500000	0.000132	0.000066	0.000047	0.0000000019	0.0001639460	0.0000405348	46.9	15.1	62.1	0.0000001354	0.0000275456	0.0000397294
50	-0.417734	-0.836217	0.000749	0.500000	0.000128	0.000066	0.000047	0.0000000019	0.0001673634	0.0000412244	48.5	15.1	63.8	0.0000001367	0.0000277790	0.0000400192
51	-0.417733	-0.836226	0.000761	0.500000	0.000130	0.000067	0.000046	0.0000000019	0.0001701167	0.0000418357	42.8	15.5	58.4	0.0000001385	0.0000279612	0.0000402749
52	-0.417751	-0.836277	0.000775	0.500000	0.000123	0.000067	0.000043	0.0000000020	0.0001736228	0.0000425328	45.3	15.0	60.4	0.0000001399	0.0000281932	0.0000405614
53	-0.417757	-0.836303	0.000788	0.500000	0.000124	0.000068	0.000042	0.0000000020	0.0001767667	0.0000432154	47.5	15.6	63.2	0.0000001418	0.0000283965	0.0000408409
54	-0.417771	-0.836344	0.000803	0.500000	0.000127	0.000068	0.000046	0.0000000021	0.0001804810	0.0000439525	61.6	17.2	78.9	0.0000001433	0.0000286356	0.0000411350
55	-0.417783	-0.836380	0.000814	0.500000	0.000131	0.000069	0.000046	0.0000000021	0.0001832928	0.0000445553	55.0	15.6	70.8	0.0000001451	0.0000288099	0.0000413737
56	-0.417799	-0.836425	0.000828	0.500000	0.000124	0.000069	0.000044	0.0000000022	0.0001867281	0.0000452115	47.2	15.8	63.2	0.0000001463	0.0000290235	0.0000416278
57	-0.417808	-0.836455	0.000840	0.500000	0.000126	0.000069	0.000044	0.0000000022	0.0001896177	0.0000458176	44.4	16.1	60.6	0.0000001481	0.0000291960	0.0000418606
58	-0.417823	-0.836498	0.000853	0.500000	0.000123	0.000070	0.000044	0.0000000023	0.0001930694	0.0000464590	49.2	15.3	64.5	0.0000001494	0.0000294010	0.0000420985
59	-0.417829	-0.836521	0.000864	0.500000	0.000126	0.000070	0.000045	0.0000000023	0.0001958092	0.0000470126	47.0	15.0	62.1	0.0000001512	0.0000295546	0.0000423019
60	-0.417844	-0.836564	0.000877	0.500000	0.000123	0.000070	0.000044	0.0000000023	0.0001991306	0.0000476126	43.0	16.1	59.3	0.0000001523	0.0000297451	0.0000425167
