1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
61	-0.417848	-0.836583	0.000887	0.500000	0.000128	0.000071	0.000046	0.0000000024	0.0002017260	0.0000481290	41.4	14.9	56.5	0.0000001541	0.0000298833	0.0000426988
62	-0.417865	-0.836630	0.000899	0.500000	0.000123	0.000071	0.000044	0.0000000024	0.0002049744	0.0000486966	50.4	15.0	65.5	0.0000001552	0.0000300632	0.0000428965
63	-0.417868	-0.836646	0.000910	0.500000	0.000124	0.000071	0.000044	0.0000000025	0.0002076667	0.0000492273	45.5	15.1	60.6	0.0000001569	0.0000302055	0.0000430824
64	-0.417851	-0.836625	0.000922	0.500000	0.000125	0.000072	0.000045	0.0000000025	0.0002109662	0.0000497908	41.3	14.9	56.3	0.0000001580	0.0000303798	0.0000432709
65	-0.417848	-0.836629	0.000933	0.250000	0.000125	0.000072	0.000044	0.0000000026	0.0002135390	0.0000502859	46.6	15.5	62.1	0.0000001598	0.0000305111	0.0000434392
66	-0.417862	-0.836663	0.000938	0.250000	0.000106	0.000072	0.000031	0.0000000026	0.0002151626	0.0000505567	46.6	16.0	62.7	0.0000001603	0.0000305949	0.0000435273
67	-0.417868	-0.836683	0.000946	0.250000	0.000106	0.000072	0.000031	0.0000000026	0.0002172155	0.0000509140	46.4	15.0	61.6	0.0000001613	0.0000306971	0.0000436426
68	-0.417871	-0.836696	0.000954	0.250000	0.000107	0.000073	0.000031	0.0000000026	0.0002192620	0.0000512643	43.0	15.6	58.7	0.0000001623	0.0000307965	0.0000437536
69	-0.417879	-0.836719	0.000962	0.250000	0.000106	0.000073	0.000031	0.0000000027	0.0002213713	0.0000516289	60.0	15.1	75.2	0.0000001632	0.0000309012	0.0000438708
70	-0.417885	-0.836740	0.000969	0.250000	0.000105	0.000073	0.000030	0.0000000027	0.0002234137	0.0000519795	54.9	15.7	70.7	0.0000001642	0.0000309998	0.0000439810
71	-0.417893	-0.836763	0.000977	0.250000	0.000104	0.000073	0.000030	0.0000000027	0.0002254865	0.0000523241	50.6	15.9	66.7	0.0000001652	0.0000310978	0.0000440867
72	-0.417900	-0.836784	0.000984	0.250000	0.000104	0.000073	0.000030	0.0000000028	0.0002275206	0.0000526587	52.5	16.2	68.7	0.0000001662	0.0000311909	0.0000441871
73	-0.417878	-0.836748	0.000992	0.250000	0.000105	0.000073	0.000030	0.0000000028	0.0002295756	0.0000529933	56.9	15.8	72.9	0.0000001672	0.0000312845	0.0000442864
74	-0.417884	-0.836767	0.001000	0.250000	0.000105	0.000074	0.000030	0.0000000028	0.0002316765	0.0000533361	43.9	16.0	60.0	0.0000001681	0.0000313810	0.0000443888
75	-0.417890	-0.836786	0.001007	0.250000	0.000105	0.000074	0.000030	0.0000000029	0.0002337472	0.0000536779	50.2	16.1	66.4	0.0000001691	0.0000314753	0.0000444908
76	-0.417888	-0.836791	0.001015	0.250000	0.000104	0.000074	0.000029	0.0000000029	0.0002358580	0.0000540177	45.4	15.6	61.1	0.0000001701	0.0000315703	0.0000445909
77	-0.417894	-0.836810	0.001022	0.250000	0.000103	0.000074	0.000029	0.0000000029	0.0002379588	0.0000543562	53.2	14.9	68.3	0.0000001711	0.0000316642	0.0000446893
78	-0.417894	-0.836818	0.001030	0.250000	0.000102	0.000074	0.000028	0.0000000030	0.0002400479	0.0000546840	54.5	15.1	69.7	0.0000001721	0.0000317552	0.0000447816
79	-0.417899	-0.836836	0.001037	0.250000	0.000102	0.000074	0.000028	0.0000000030	0.0002421054	0.0000550024	51.6	15.5	67.2	0.0000001730	0.0000318423	0.0000448688
80	-0.417906	-0.836856	0.001045	0.250000	0.000101	0.000075	0.000028	0.0000000030	0.0002441955	0.0000553258	50.4	15.2	65.7	0.0000001740	0.0000319315	0.0000449576
81	-0.417908	-0.836868	0.001052	0.250000	0.000101	0.000075	0.000028	0.0000000031	0.0002462481	0.0000556362	44.5	15.4	60.0	0.0000001750	0.0000320154	0.0000450397
82	-0.417913	-0.836886	0.001059	0.250000	0.000102	0.000075	0.000028	0.0000000031	0.0002483009	0.0000559431	46.0	15.9	62.0	0.0000001759	0.0000320978	0.0000451196
83	-0.417917	-0.836900	0.001066	0.250000	0.000101	0.000075	0.000028	0.0000000031	0.0002503688	0.0000562497	48.7	15.5	64.4	0.0000001769	0.0000321798	0.0000451987
84	-0.417922	-0.836917	0.001074	0.250000	0.000101	0.000075	0.000028	0.0000000032	0.0002524305	0.0000565586	55.1	15.4	70.6	0.0000001778	0.0000322612	0.0000452785
85	-0.417928	-0.836936	0.001081	0.250000	0.000101	0.000075	0.000028	0.0000000032	0.0002545093	0.0000568678	51.0	16.4	67.6	0.0000001788	0.0000323431	0.0000453574
86	-0.417933	-0.836953	0.001088	0.250000	0.000100	0.000075	0.000027	0.0000000032	0.0002565676	0.0000571683	58.1	15.6	73.8	0.0000001797	0.0000324218	0.0000454319
87	-0.417938	-0.836972	0.001095	0.250000	0.000100	0.000075	0.000027	0.0000000033	0.0002586085	0.0000574600	51.5	14.9	66.5	0.0000001806	0.0000324978	0.0000455016
88	-0.417944	-0.836990	0.001102	0.250000	0.000099	0.000076	0.000027	0.0000000033	0.0002606437	0.0000577391	52.1	15.6	67.9	0.0000001816	0.0000325710	0.0000455650
89	-0.417950	-0.837008	0.001109	0.250000	0.000100	0.000076	0.000027	0.0000000033	0.0002626242	0.0000580142	51.8	16.5	68.4	0.0000001825	0.0000326405	0.0000456272
90	-0.417955	-0.837025	0.001116	0.250000	0.000100	0.000076	0.000027	0.0000000034	0.0002647056	0.0000583033	50.0	15.9	66.0	0.0000001834	0.0000327161	0.0000456942
91	-0.417959	-0.837041	0.001123	0.250000	0.000100	0.000076	0.000027	0.0000000034	0.0002667796	0.0000585866	49.9	15.5	65.5	0.0000001844	0.0000327896	0.0000457585
92	-0.417964	-0.837058	0.001130	0.250000	0.000100	0.000076	0.000027	0.0000000034	0.0002688866	0.0000588769	50.0	15.4	65.6	0.0000001853	0.0000328655	0.0000458255
93	-0.417968	-0.837074	0.001137	0.250000	0.000099	0.000076	0.000027	0.0000000035	0.0002709990	0.0000591648	50.1	15.8	66.0	0.0000001863	0.0000329409	0.0000458911
94	-0.417972	-0.837088	0.001144	0.250000	0.000099	0.000076	0.000027	0.0000000035	0.0002730895	0.0000594420	56.9	15.6	72.6	0.0000001872	0.0000330130	0.0000459516
95	-0.417973	-0.837097	0.001151	0.250000	0.000098	0.000076	0.000026	0.0000000035	0.0002751771	0.0000597160	47.9	16.2	64.2	0.0000001881	0.0000330838	0.0000460102
96	-0.417977	-0.837112	0.001158	0.250000	0.000098	0.000076	0.000026	0.0000000036	0.0002772498	0.0000599829	51.0	15.8	66.9	0.0000001891	0.0000331530	0.0000460649
97	-0.417982	-0.837129	0.001165	0.250000	0.000097	0.000076	0.000026	0.0000000036	0.0002792986	0.0000602417	47.2	15.7	63.0	0.0000001900	0.0000332190	0.0000461157
98	-0.417988	-0.837146	0.001171	0.250000	0.000097	0.000077	0.000026	0.0000000036	0.0002813183	0.0000604883	52.0	15.5	67.6	0.0000001909	0.0000332818	0.0000461605
99	-0.417992	-0.837162	0.001178	0.250000	0.000097	0.000077	0.000026	0.0000000037	0.0002833589	0.0000607325	47.5	15.4	63.1	0.0000001918	0.0000333440	0.0000462040
100	-0.417997	-0.837179	0.001184	0.250000	0.000098	0.000077	0.000026	0.0000000037	0.0002853790	0.0000609747	50.7	16.7	67.5	0.0000001927	0.0000334046	0.0000462468
101	-0.418001	-0.837194	0.001191	0.250000	0.000098	0.000077	0.000026	0.0000000038	0.0002874649	0.0000612336	50.6	15.7	66.3	0.0000001937	0.0000334705	0.0000462970
102	-0.418010	-0.837217	0.001198	0.250000	0.000097	0.000077	0.000026	0.0000000038	0.0002895817	0.0000614827	50.9	16.0	67.0	0.0000001946	0.0000335362	0.0000463418
103	-0.418014	-0.837233	0.001204	0.250000	0.000097	0.000077	0.000026	0.0000000038	0.0002916498	0.0000617286	51.9	15.1	67.1	0.0000001955	0.0000335979	0.0000463853
104	-0.418018	-0.837248	0.001211	0.250000	0.000097	0.000077	0.000026	0.0000000039	0.0002937793	0.0000619884	46.4	15.2	61.7	0.0000001964	0.0000336645	0.0000464344
105	-0.418022	-0.837263	0.001218	0.250000	0.000097	0.000077	0.000025	0.0000000039	0.0002959248	0.0000622423	47.9	15.6	63.6	0.0000001974	0.0000337297	0.0000464802
106	-0.418026	-0.837277	0.001225	0.250000	0.000097	0.000077	0.000025	0.0000000039	0.0002980454	0.0000624891	49.9	15.8	65.8	0.0000001983	0.0000337921	0.0000465226
107	-0.418031	-0.837294	0.001232	0.250000	0.000097	0.000077	0.000025	0.0000000040	0.0003001943	0.0000627364	51.8	15.6	67.6	0.0000001992	0.0000338551	0.0000465648
108	-0.418035	-0.837309	0.001239	0.250000	0.000096	0.000077	0.000025	0.0000000040	0.0003023476	0.0000629822	44.9	15.2	60.3	0.0000002001	0.0000339177	0.0000466064
109	-0.418032	-0.837309	0.001245	0.250000	0.000096	0.000077	0.000025	0.0000000040	0.0003044593	0.0000632189	45.7	16.1	61.9	0.0000002010	0.0000339768	0.0000466437
110	-0.418036	-0.837323	0.001252	0.250000	0.000095	0.000077	0.000025	0.0000000041	0.0003065945	0.0000634475	44.8	15.4	60.3	0.0000002019	0.0000340351	0.0000466770
111	-0.418041	-0.837339	0.001258	0.250000	0.000095	0.000077	0.000025	0.0000000041	0.0003086580	0.0000636690	48.5	15.7	64.3	0.0000002029	0.0000340888	0.0000467076
112	-0.418045	-0.837355	0.001265	0.250000	0.000095	0.000078	0.000025	0.0000000041	0.0003107910	0.0000638897	47.8	16.0	64.0	0.0000002038	0.0000341451	0.0000467370
113	-0.418036	-0.837343	0.001271	0.250000	0.000095	0.000078	0.000025	0.0000000042	0.0003128603	0.0000641028	47.7	15.8	63.7	0.0000002047	0.0000341970	0.0000467636
114	-0.418041	-0.837359	0.001278	0.250000	0.000096	0.000078	0.000025	0.0000000042	0.0003150133	0.0000643263	58.6	15.9	74.7	0.0000002056	0.0000342539	0.0000467942
115	-0.418045	-0.837373	0.001284	0.250000	0.000094	0.000078	0.000024	0.0000000043	0.0003171621	0.0000645613	48.9	16.3	65.3	0.0000002065	0.0000343115	0.0000468303
116	-0.418049	-0.837389	0.001291	0.250000	0.000094	0.000078	0.000024	0.0000000043	0.0003192674	0.0000647707	51.0	15.7	66.8	0.0000002074	0.0000343635	0.0000468545
117	-0.418054	-0.837404	0.001297	0.250000	0.000094	0.000078	0.000024	0.0000000043	0.0003213944	0.0000649826	46.3	16.4	62.8	0.0000002083	0.0000344163	0.0000468798
118	-0.418057	-0.837418	0.001303	0.250000	0.000094	0.000078	0.000024	0.0000000044	0.0003234936	0.0000651881	53.1	15.5	68.7	0.0000002092	0.0000344662	0.0000469023
119	-0.418062	-0.837433	0.001310	0.250000	0.000093	0.000078	0.000024	0.0000000044	0.0003256305	0.0000653896	51.6	15.3	67.0	0.0000002101	0.0000345169	0.0000469227
120	-0.418065	-0.837446	0.001316	0.250000	0.000094	0.000078	0.000024	0.0000000044	0.0003276879	0.0000655821	46.5	15.9	62.5	0.0000002110	0.0000345625	0.0000469400
121	-0.418069	-0.837461	0.001322	0.250000	0.000094	0.000078	0.000024	0.0000000045	0.0003298560	0.0000657822	43.9	15.3	59.3	0.0000002119	0.0000346139	0.0000469596
122	-0.418065	-0.837458	0.001328	0.250000	0.000094	0.000078	0.000024	0.0000000045	0.0003319956	0.0000659862	43.5	15.7	59.3	0.0000002128	0.0000346638	0.0000469816
123	-0.418080	-0.837494	0.001335	0.250000	0.000094	0.000078	0.000024	0.0000000046	0.0003341815	0.0000661858	50.7	15.1	66.0	0.0000002137	0.0000347152	0.0000470009
124	-0.418075	-0.837492	0.001341	0.250000	0.000095	0.000078	0.000024	0.0000000046	0.0003363800	0.0000664007	47.0	14.8	62.0	0.0000002146	0.0000347677	0.0000470274
125	-0.418079	-0.837506	0.001348	0.250000	0.000095	0.000078	0.000024	0.0000000046	0.0003386611	0.0000666274	45.3	16.5	61.8	0.0000002156	0.0000348256	0.0000470585
126	-0.418082	-0.837520	0.001355	0.250000	0.000095	0.000078	0.000024	0.0000000047	0.0003409835	0.0000668658	47.2	15.3	62.7	0.0000002165	0.0000348867	0.0000470947
127	-0.418085	-0.837533	0.001362	0.250000	0.000094	0.000078	0.000024	0.0000000047	0.0003433295	0.0000670990	43.4	16.3	59.8	0.0000002174	0.0000349481	0.0000471283
128	-0.418090	-0.837548	0.001369	0.250000	0.000095	0.000078	0.000024	0.0000000047	0.0003455967	0.0000673182	44.2	15.0	59.3	0.0000002183	0.0000350034	0.0000471561
129	-0.418094	-0.837564	0.001376	0.250000	0.000094	0.000078	0.000024	0.0000000048	0.0003479267	0.0000675365	46.4	15.6	62.1	0.0000002192	0.0000350608	0.0000471829
130	-0.418096	-0.837574	0.001383	0.250000	0.000095	0.000078	0.000024	0.0000000048	0.0003501453	0.0000677420	45.2	16.1	61.5	0.0000002201	0.0000351107	0.0000472052
131	-0.418101	-0.837591	0.001389	0.250000	0.000094	0.000078	0.000024	0.0000000049	0.0003524963	0.0000679569	49.9	15.8	65.9	0.0000002210	0.0000351682	0.0000472308
132	-0.418103	-0.837601	0.001396	0.250000	0.000094	0.000078	0.000024	0.0000000049	0.0003547424	0.0000681660	51.3	16.1	67.5	0.0000002219	0.0000352189	0.0000472544
133	-0.418107	-0.837617	0.001403	0.250000	0.000094	0.000078	0.000023	0.0000000049	0.0003570879	0.0000683745	47.4	15.0	62.6	0.0000002228	0.0000352735	0.0000472769
134	-0.418108	-0.837626	0.001410	0.250000	0.000093	0.000078	0.000023	0.0000000050	0.0003593901	0.0000685853	44.4	16.5	61.1	0.0000002237	0.0000353258	0.0000473005
135	-0.418075	-0.837567	0.001416	0.250000	0.000092	0.000078	0.000023	0.0000000050	0.0003617284	0.0000687888	46.1	16.4	62.6	0.0000002246	0.0000353781	0.0000473205
136	-0.418078	-0.837579	0.001423	0.250000	0.000093	0.000079	0.000023	0.0000000051	0.0003639113	0.0000689729	43.3	15.5	58.9	0.0000002255	0.0000354215	0.0000473331
137	-0.418081	-0.837591	0.001429	0.250000	0.000092	0.000079	0.000023	0.0000000051	0.0003662026	0.0000691519	45.7	15.2	61.0	0.0000002263	0.0000354683	0.0000473427
138	-0.418084	-0.837603	0.001435	0.250000	0.000092	0.000079	0.000023	0.0000000051	0.0003684117	0.0000693323	46.9	15.3	62.3	0.0000002272	0.0000355107	0.0000473536
139	-0.418087	-0.837615	0.001442	0.250000	0.000092	0.000079	0.000023	0.0000000052	0.0003707016	0.0000695039	49.5	15.0	64.7	0.0000002281	0.0000355549	0.0000473601
140	-0.418090	-0.837627	0.001448	0.250000	0.000092	0.000079	0.000023	0.0000000052	0.0003729708	0.0000696831	47.8	15.6	63.5	0.0000002290	0.0000355982	0.0000473704
141	-0.418092	-0.837639	0.001454	0.250000	0.000092	0.000079	0.000023	0.0000000053	0.0003752969	0.0000698647	45.3	16.1	61.5	0.0000002298	0.0000356463	0.0000473814
142	-0.418095	-0.837651	0.001461	0.250000	0.000092	0.000079	0.000023	0.0000000053	0.0003775878	0.0000700403	43.6	15.9	59.6	0.0000002307	0.0000356891	0.0000473898
143	-0.418095	-0.837658	0.001467	0.250000	0.000092	0.000079	0.000023	0.0000000053	0.0003799405	0.0000702177	42.6	15.4	58.1	0.0000002315	0.0000357352	0.0000473986
144	-0.418098	-0.837669	0.001474	0.250000	0.000092	0.000079	0.000023	0.0000000054	0.0003822196	0.0000703900	46.0	15.9	62.0	0.0000002324	0.0000357770	0.0000474058
145	-0.418100	-0.837681	0.001480	0.250000	0.000091	0.000079	0.000023	0.0000000054	0.0003845800	0.0000705590	42.3	15.4	57.8	0.0000002333	0.0000358219	0.0000474112
146	-0.418103	-0.837693	0.001486	0.250000	0.000092	0.000079	0.000023	0.0000000055	0.0003868527	0.0000707191	44.0	15.7	59.8	0.0000002342	0.0000358606	0.0000474136
